InvoiceNo,Description,Quantity,InvoiceDate,CustomerID,Country
581336,PARISIENNE SEWING BOX,2,12/8/2011 12:10,16161,United Kingdom
581336,VICTORIAN SEWING BOX LARGE,1,12/8/2011 12:10,16161,United Kingdom
581336,Next Day Carriage,1,12/8/2011 12:10,16161,United Kingdom
581338,JUMBO BAG 50'S CHRISTMAS ,140,12/8/2011 12:12,14646,Netherlands
581345,PARTY BUNTING,5,12/8/2011 12:15,17315,United Kingdom
581345,DOG BOWL VINTAGE CREAM,2,12/8/2011 12:15,17315,United Kingdom
581345,RABBIT NIGHT LIGHT,1,12/8/2011 12:15,17315,United Kingdom
581345,RECIPE BOX RETROSPOT ,4,12/8/2011 12:15,17315,United Kingdom
581345,GARDENERS KNEELING PAD CUP OF TEA ,8,12/8/2011 12:15,17315,United Kingdom
581345,GARDENERS KNEELING PAD KEEP CALM ,8,12/8/2011 12:15,17315,United Kingdom
581345,PLACE SETTING WHITE HEART,24,12/8/2011 12:15,17315,United Kingdom
581345,4 PINK DINNER CANDLE SILVER FLOCK,12,12/8/2011 12:15,17315,United Kingdom
581345, 4 PURPLE FLOCK DINNER CANDLES,12,12/8/2011 12:15,17315,United Kingdom
581345,NATURAL SLATE RECTANGLE CHALKBOARD,6,12/8/2011 12:15,17315,United Kingdom
581345,FRENCH ENAMEL WATER BASIN,2,12/8/2011 12:15,17315,United Kingdom
581345,SET OF 2 ROUND TINS CAMEMBERT ,2,12/8/2011 12:15,17315,United Kingdom
581345,SET OF 2 TINS JARDIN DE PROVENCE,2,12/8/2011 12:15,17315,United Kingdom
581345,PLACE SETTING WHITE HEART,24,12/8/2011 12:15,17315,United Kingdom
581345,PINK REGENCY TEACUP AND SAUCER,9,12/8/2011 12:15,17315,United Kingdom
581345,ROSES REGENCY TEACUP AND SAUCER ,10,12/8/2011 12:15,17315,United Kingdom
581352,SET 6 SCHOOL MILK BOTTLES IN CRATE,1,12/8/2011 12:26,14698,United Kingdom
581352,BLACK TEA TOWEL CLASSIC DESIGN,4,12/8/2011 12:26,14698,United Kingdom
581352,MONSTERS STENCIL CRAFT,1,12/8/2011 12:26,14698,United Kingdom
581352,ALPHABET STENCIL CRAFT,1,12/8/2011 12:26,14698,United Kingdom
581352,FRENCH GARDEN SIGN BLUE METAL,1,12/8/2011 12:26,14698,United Kingdom
581352,SET 8 CANDLES VINTAGE DOILY,2,12/8/2011 12:26,14698,United Kingdom
581352,SMALL ZINC/GLASS CANDLEHOLDER,2,12/8/2011 12:26,14698,United Kingdom
581352,HANGING HEART JAR T-LIGHT HOLDER,2,12/8/2011 12:26,14698,United Kingdom
581352,SET OF 3 BLACK FLYING DUCKS,1,12/8/2011 12:26,14698,United Kingdom
581352,WOODEN FRAME ANTIQUE WHITE ,1,12/8/2011 12:26,14698,United Kingdom
581352,CHARLIE + LOLA RED HOT WATER BOTTLE,1,12/8/2011 12:26,14698,United Kingdom
581352,BLACK TEA TOWEL CLASSIC DESIGN,2,12/8/2011 12:26,14698,United Kingdom
581352,PLASTERS IN TIN SPACEBOY,1,12/8/2011 12:26,14698,United Kingdom
581352,SMALL APOTHECARY MEASURING JAR ,1,12/8/2011 12:26,14698,United Kingdom
581352,JUMBO BAG ALPHABET,1,12/8/2011 12:26,14698,United Kingdom
581352,GIANT 50'S CHRISTMAS CRACKER,2,12/8/2011 12:26,14698,United Kingdom
581352,WALL ART GARDEN HAVEN ,1,12/8/2011 12:26,14698,United Kingdom
581352,BLACK TEA TOWEL CLASSIC DESIGN,2,12/8/2011 12:26,14698,United Kingdom
581352,WHITE WICKER STAR ,2,12/8/2011 12:26,14698,United Kingdom
581352,WOODEN FRAME ANTIQUE WHITE ,1,12/8/2011 12:26,14698,United Kingdom
581352,CINAMMON SET OF 9 T-LIGHTS,3,12/8/2011 12:26,14698,United Kingdom
581352,ZINC WIRE KITCHEN ORGANISER,1,12/8/2011 12:26,14698,United Kingdom
581352,LARGE PARLOUR PICTURE FRAME,1,12/8/2011 12:26,14698,United Kingdom
581352,SMALL PARLOUR PICTURE FRAME,2,12/8/2011 12:26,14698,United Kingdom
581352,ALPHABET STENCIL CRAFT,1,12/8/2011 12:26,14698,United Kingdom
581352,CALENDAR IN SEASON DESIGN,3,12/8/2011 12:26,14698,United Kingdom
